瞓觉为真	睡觉才是
佢哋畀人㗾得真惨	他们被人家喝倒彩弄得真狼狈。
㗾一啖气	哈一口气。
㗾哆花	喇叭形的花
㗾哆嘴	撅嘴。
唔㜺	不好。
你噉做唔系几㜺噃	你这样做不怎么妥当吧? 
去嗰度玩几㜺㗎	到那里玩挺有意思的。
呢啲系㜺嘢嚟㗎	这是好东西啊! 
㜺嘢，今晚食大餐	好啊，今晚吃大餐。
巷㞘	街巷的尽头。
最㞘底嗰啲水就倒咗佢啦	最底下的那些水就倒了吧。
攞条竹篙㧤咗个沙田柚落嚟	拿根竹竿把柚子捅下来。
㨃一条棍入去	捅一根棍子进去。
㨃住度门	把门撑着。
你唔好㨃鬼佢去乱搞呀	你别怂恿他去乱搞啊。
嗰啲绍菜㨆得好似座山噉	那些大白菜垛得像座山
将凳㨆到台上面	把椅子摞到桌子上面去。
㨘面盆	刷洗脸盆
嗰笪油迹㨘唔甩	那块油垢刷不掉。
㨘一轮	训斥一顿。
畀人㨘咗个波饼	让人家用球打了一下。
一张飞可以㨢两个细蚊仔	一张票可以带两个小孩
佗手㨢脚	牵牵扯扯的———指因有拖累而行动不便。
门环上面㨢住条绳	门环上系着一根绳子。
㨴煲盖	揭锅盖。
攞条棍㩧晒啲李落嚟	拿棍子把李子全部打下来
你嗰条棍因住㩧亲人哋个头	你的棍子当心敲了人家的脑袋。
呢种花款好㩧	这种款式很土。
边个敢嚟，一于㩧湿佢	谁敢来，非把他揍瘪不可。
眼入咗粒沙，好㪐	眼睛进了沙子，很痛。
条路好㪐㩿，小心啲行	路坑坑洼洼的，小心点走。
佢读报纸鬼咁㪐㩿	他读报非常结巴。
㷫干件衫	把衣服烤干
㷫热煲水	把锅里的水烤热。
佢额头好㷫，发烧都唔定	他额头很烫，说不定是发烧
呢间屋有西斜热，下昼好㷫	这房子有西晒，下午很热。
呢度咁㷫呀	这里那么热闹! 
佢㷫起嚟就几好嘅	他劲头来的时候还算不错。
激到佢发㷫	气得他发怒。
马路晒到㷫烚烚	马路晒得热辣辣的
呢间房晒到㷫烚烚，冇办法瞓	这屋子晒得热烘烘的，没法睡。
䁓下佢喺唔喺里便	看一下他在不在里面。
唔好喺门罅䁓人哋	不要在门缝偷看人家。
䉺米	发霉的米
呢啲米䉺䉺地	这些米有点儿霉味儿。
一到天冷，手就有啲䉺	一到冬天，手就有点干燥。
芹菜食䒰唔食叶	芹菜吃秆儿不吃叶子
芥菜䒰	芥菜帮儿。
一䓖葡提子	一嘟噜葡萄
一䓖粟米	一包玉米。
唔好落䟕个水氹度	不要踩进水坑里
一脚䟕咗落去	一脚踏下去。
佢而家唔使做嘢，䟴䟴脚噉过日辰	他现在不用工作，逍遥自在过日子。
䟴高脚嚟行	提起脚跟来走路。
病到佢䪯䪯声	病得他直哼哼。
佢好有意见，成日䪯䪯声	他很有意见，整天嘀嘀咕咕的。
揿到实一实	摁得紧紧的
扮到靓一靓	打扮得很漂亮
搽到红一红	涂抹得十分红。
你要一一二二讲晒出嚟	你要一五一十全部都说出来。
一个二个听住，我有话讲	每个人都听着，我有话说
一个二个都出晒去	一个个都出去了。
两点一个字	两点五分。
佢一个对都未瞌过眼	他一昼夜都没有合过眼
呢啲药顶得一个对	这些药能顶一昼夜。
佢两兄弟真系一个饼印噉	他两兄弟就像一个模子做出来的。
五点一个骨	五点一刻
一个骨牛油	四分之一磅牛油。
退咗休，每日凑孙、钓鱼、捉棋，一乐也咯	退休以后，每天带孙子、钓鱼、下棋，真舒畅啊!
一于唔畀佢去	坚决不让他去
我一于唔制	我坚决不答应。
一于揾到佢为止	一定要找到他为止
一于要做好佢	怎么也要把它做好。
一于噉话啦	就这样办吧
一于系噉啦	就这样吧。
吓到佢一仆一辘噉走	吓得他连滚带爬地跑。
一便睇，一便听	一边儿看，一边儿听。
条路一凹一凸，真难行	这路坑坑洼洼的，真难走。
呢件事讲起来一匹布咁长	这件事说来话长。
一句讲晒，我唔同意噉做	总而言之，我不同意这么做。
一句讲晒，就噉决定喇	不必多说了，就这么决定。
畀人闹到一只屐噉	被人家骂得垂头丧气。
呢排做到我噉	这阵子干活累得我够戗。
一味挂住玩	总是惦记着玩儿
一味做，乜都唔理	一个劲儿地干活，别的都不管
佢一味喺度画画，边度都唔去	他只是在那里画画，什么地方都不去
一味靠吓	只是靠吓唬人。
佢一啲都要埋	他全部都拿去了
一啲都唔啱	一点也不对。
一啲啲啦，有好有坏	各有各的情况，有好也有坏。
佢一嘴油，你讲唔过佢嘅	他能言善道的，你说不过他的。
你做乜一嚿云噉，咁清楚嘅道理你都唔明白	你干吗糊里糊涂的，这么明显的道理你都不懂。
佢讲得一嚿云噉，我都唔知佢讲乜	他说话乱七八糟，我不知道他要说什么。
佢成身起咗一嚿溜嘅嘢	他全身长了一块块的东西。
佢好似一嚿饭噉，乜都唔会做	他像个饭桶似的，什么都不会干。
将啲泥搞到一坺迾噉	把烂泥搞得一摊摊的。
粪要一堆𨀤噉放	粪要成堆成堆地放。
提起呢件事就一壳眼泪咯	提起这件事就伤心落泪了。
一大早去边处呀	大清早上哪儿去啊?
佢肯帮忙，噉就一天光晒喇	他愿意帮忙，就什么问题都解决了
呢回一天光晒	这下子局面全好了。
佢一头煮饭一头睇书	他一边儿做饭一边儿看书。
呢次要一头半月至翻嚟	这回要半个月左右才能回来。
一个人担一头家真唔容易呀	一个人负责一个家的事务真不容易啊。
我一头家务，唔顾得其他咯	我一摊子家务事，管不了其他了。
忙到我一头烟	忙得我够戗。
呢件事我都一头雾水，唔知头共尾	这件事我不清楚，不知首尾。
噉重使指点咩，一字咁浅	这还用指教吗，道理这样浅
一字咁浅，边个都识啦	这不是明摆着吗，谁都知道啦。
缩埋一字角	缩在角落里。
一实系咯	一定是了
我睇佢一实唔制	我看他肯定不干
你噉样答一实冇错	你那样回答准没错。
你个头剪得一岩一窟噉	你的头发剪得坑坑洼洼的。
咖啡一度	喝一番咖啡
西装一度	穿一身西装
风流一度	快活一阵子。
边个做都系一式	谁做都一样
你噉又唔系一式	你这样还不是一样!
今餐啱啱使咗一张嘢	这一顿饭刚好花了一块钱。
畀佢搞到一戙都冇	给他弄到毫无办法
畀人闹到一戙都冇	给人家骂得一钱不值。
等我一手一脚做埋佢啦	( 这件事是我干过的) 让我继续把它干完吧!
大家坐埋，就系佢一把嘴	大家聚在一起，就是他话多。
佢一把嘴㗎，你唔够佢讲嘅	他能言善辩的，你说不过他的。
提起佢我就一把火	一提起他我就无名火起
畀佢激到一把火	给他气得不得了。
菩提子一抽一掕真系多罗	葡萄一串串的真多呀
佢买咗咁多嘢，一抽一掕噉	他买了这么多东西，手提溜着一包一包的。
佢两个一个懒，一个贪食，都系一担担咯	他们两个一个懒，一个贪吃，都是半斤八两了。
佢两个一拍行	他俩肩并肩地走。
我要有一排至还，得吗	我要过一段时间才还，行吗?
摆成一排赖噉	摆成一排一排的
呢啲屋一排赖都油咗灰水	这些房子成排成排都刷了白灰水。
得佢一支公喺屋企	只有他一个人在家
一支公去睇戏冇瘾	一个人去看戏没意思。
食烟一族	抽烟的人。
一日都系佢唔好	总之都是他不好
一日都怪我系啦	总之都怪我就是了。
一日到黑都唔得闲	一天到晚都没空。
一日到黑都系佢唔好	总之都是他不对
一日到黑都系佢作怪	归根结底是他在搞鬼。
规则一时一样，叫人点做呀	规则变来变去，叫人怎么做呢。
一时三刻要做完，点得呀	立刻要做完，怎么行呢?
呢件事一时半时做唔晒	这件事一时半会儿做不完。
一时时唔同嘅	一个时候一个时候不同的。
佢嘅病，一时时啦	他的病，时好时坏。
今日我走一条气咗两堂路	今天我一口气走了二十里路。
畀佢激到我一条气噉	他把我气坏了。
趯到我一条气	跑得我气喘吁吁。
今年一次过收五百文卫生费	今年一次性收五百元卫生费。
激到我一泡气噉	气得我一肚子气。
呢个缸比嗰个缸大一皮	这个缸比那个缸大一圈
呢排我瘦咗一皮	这段时间我瘦了一圈。
你同佢差咗一皮	你跟他相差一个等级。
写得好清楚，我一眼睇晒咯	写得很清楚，我一目了然了
公司就呢几个人，一眼睇晒 	公司就这么几个人，一览无遗。
呢个人你咪惹佢，一碰三斗油 	这个人你别惹他，一碰就会发火。
一窦喽仔女	一窝子女。
佢几个都系一窿蛇	他们几个都是一丘之貉。
呢度嘅服务真系一等一喇	这里的服务是一流的。
你一粒色噉就想学人打排球啦	你个子这么小就想学打排球?
一系你嚟，一系我去揾你	或者你来，或者我去找你。
呢个仔一肚核呀	这孩子心眼可多呢。
呢度乜嘢都系我一脚踢	这里什么事情都是我一个人干。
呢啲嘢一脚踢买晒佢啦	这些东西全部买去吧!
唔好一自行路一自睇书	不要一边儿走路一边儿看书。
睇见嗰只股票一自自噉涨，真系开心咯	看见那个股票逐渐地涨，真是高兴啊
个仔一自自大，衫都唔啱着咯	儿子一天天长大，衣服都不合穿了。
佢一路都唔食烟嘅	他一向都不抽烟的。
一路行一路谂嘢	一边走一边想东西。
完成晒工作就一身松咯	完成了工作就一身轻松了。
呢几日做到我一身筋	这几天做得我疲惫不堪。
搞到我一身腥	弄得我满身麻烦。
做呢件事一定会惹到一身蚁	做这件事一定会惹到很多麻烦。
呢一轮你去边呀	这一段时间你到哪里去了?
畀人话咗一轮	让人说了一顿。
认错啦，咪一轮嘴辩驳咯	认错吧，别花言巧语辩解了。
用脑想想嘛，一辘葛噉	动脑筋想想嘛，像个木头人似的!
畀你搞到一镬粥噉	让你搞得一团糟。
落咗一阵雨	下了一阵子雨
起咗一阵风	起了一阵风
大家笑咗一阵	大家笑了一会儿。
呢件事大家嘈过一阵嘅嘞	这件事大家议论过一段时间的了。
行一阵间就到	走一会儿就到
一阵间就唔见咗	一会儿就不见了。
一阵间佢唔认账点算	待一会儿他不认账怎么办?
畀人闹到一面屁	给人骂得满面羞惭。
你紧张到一额汗	你紧张得满头大汗。
一𢬤掕锁匙	一大串钥匙。
我一𢬤掕买晒	我一股脑儿买了。
呢处有一𫗉𡃴，好难闻	这里有一股味，很难闻。
两丁友	两个家伙。
丁咁多	一丁点儿。
都做到七七八八啰，做埋佢啦	都完成七八成了，干完它吧。
呢排忙到我七个一皮	最近我忙得一塌糊涂。
呢排做到我七彩	近来忙得我头晕眼花。
演员好落力，个个都演得七情上面	演员演得很卖力，个个都真切动人。
我有今日完全系靠大家七扶八插	我有今天完全是靠大家的支援和帮助。
呢间公司噉，唔慌好嘢	这家公司乱糟糟的，不会是好东西。
一连几日加班，做到我七支八离	一连几天加班，累得我散了架似的。
佢前几年真系七穷六绝咯	他前几年真是到了山穷水尽的地步了。
佢都七老八十咯重好硬净	他都七八十岁了，还挺硬朗。
一个月收入七除八扣，最多唔够一万文	一个月收入七扣八扣，最多不到一万元。
呢件事万大有我，你即管放心啦	这件事我承担一切责任，你大可以放心
万大有我，怕乜	不管发生什么事，有我呢，怕什么!
我三下五落二就搞掂咯	我三下五除二就搞妥了。
三两下手势就做低佢	几下子就把他打倒。
今日好冷，街上得三九两丁七人	今天很冷，街上人很少
我哋组得三九两丁七人，唔做得乜嘢	我们组才三几个人，干不了什么事。
住三几日啦	住三四天吧。
呢个人三口两脷，唔好信呀	这个人言而无信，别相信他。
呢嚿石三尖八角，冇乜用	这块石头形状不规则，没什么用。
搞嚟搞去都系三幅被	搞来搞去都是老样子，没有什么新的东西。
叫佢嚟做，三手两脚就做完咯	叫他来做，一下子就做完了。
佢三扒两拨就食完	他三两下子就吃完
佢三扒两拨做完咗，唔知质量点样	他三两下子干完了，不知质量怎样?
三日两头去探下佢	三天两头地去探望一下他。
至怕有乜三朝两日揦手唔成势	就怕有什么三长两短时措手不及。
三板斧都出齐咯	所有本事都用尽了。
噉即系畀三脚凳人坐啫	这就是存心让人家摔跤罢了。
人人都会碰到三衰六旺嘅	人人都会碰上祸福的
万一有个三衰六旺，大家都会帮你嘅	万一有个三长两短，大家都会帮助你的。
上下天光咯	将近天亮了
佢嘅病上下好喇	他的病快要好了。
廿五个上下	二十五个左右
三个月咁上下至翻嚟	大概三个月才回来。
畀佢踢中我嘅上五寸下五寸，痛到我碌喺度	给他踢中我的小腿骨，疼得我滚在地上。
放喺上便	放在上面
楼上便有定	楼上有地方。
上咗三堂	上了三课。
老板交带嘅事，佢都敢唔上心	老板交代的事，他居然敢不放在心上。
佢对你好上心㗎	他很在乎你的。
上排你去咗边度	前些日子你到哪里去了?
上昼上堂，下昼自习	上午上课，下午自习。
你呢个主意上算	你这个主意高明。
住七楼上落唔方便	住七楼上下不方便。
一个喺广州，一个喺北京，上落几唔方便呀	一个在广州，一个在北京，来往多不方便啊。
花樽放喺柜上高	花瓶放在柜子上面
瓦背顶上高	屋顶上面。
睇睇下就瞓着咗咯	看着看着就睡着了
行行下唔知佢去咗边度	走着走着，不知道他到哪里去了
整整下就整番好	弄来弄去就弄好了。
入嚟坐下啦	进来坐坐吧
你去下啦	你去一下吧
你问下佢	你问问他。
行下行下，唔经唔觉就到咯	走着走着，不知不觉就到了
两个倾下倾下连饭都唔记得食	两人谈呀谈呀，连饭都忘了吃。
你包行李几重下个噃	你这包行李够分量的
呢出戏几好睇下㗎	这出戏挺好看的。
呢樖柑下得咯	这棵柑子可以摘了。
咪下下都要人哋话至得	不要每次都要人家说才行
下下都要听佢嘅	每样都要听他的。
放喺台下低	放在桌子下面。
佢食嘢唔知几下作	他吃东西时太粗鄙了。
下便系乜嘢节目	下面是什么节目? 
嗰本书喺报纸下便	那本书在报纸底下。
“床下底破柴———撞板” 	歇后语。床底下劈柴———碰板，即碰钉子
唔了解情况就乱讲，你太下扒轻轻喇	不了解情况就随便说，你说话太不认真了。
不宜去睇电影重好	不如去看电影还好。
佢咁懒，第日都系不成器皿嘅咯	他这么懒，将来也是不成才的啊。
佢哋三几个人度搞搞震，不成器皿	他们几个人在那里乱搞一气，不成气候。
佢不特完成咗任务，重超额添	他不但完成了任务，还超额呢。
佢不特止有生活作风问题，重有经济问题	他不仅有生活作风问题，还有经济问题。
佢不留有信翻嚟	他经常有信回来
我不留都喺广州	我一直都在广州。
青瓜与共豆角，都要种啲	黄瓜和豆角都要种一点。
足球、篮球与及排球我都会打	足球、篮球以及排球我都会玩。
唔知丑	不知羞
个样好丑	样子很难看。
丑下佢	羞他一下。
一个做好人，一个做丑人	一个唱白脸，一个唱红脸。
佢生得唔算丑怪	他长得不算丑
呢个字写得太丑怪喇	这个字写得太难看了。
咁大个仔重着开裆裤，真丑怪	这么大的孩子还穿开裆裤，真羞!
咁大个重喊，丑死鬼咯	这么大还哭，羞死人了。
佢呢个人系几好嘅，就系丑颈啲	他这个人是不错的，就是脾气坏一点。
呢味𩠌系专登整畀你食嘅	这个菜是专门做给你吃的。
佢专登做畀你睇	他故意做给你看。
而家真系好世界咯	现在日子真是好啊。
捞世界	混生活; 谋生计; 闯江湖
叹世界	享受生活，享清福。
去嗰度打工大把世界㗎	去他那里打工有的是发展机会
你重后生，以后大把世界	你还年轻，以后很有前途。
佢老豆剩落大把	他父亲留下很多财产。
嗰间公司世界尾咯，平啲顶咗佢啦	那间公司没落了，便宜点盘下来吧。
呢个款式世界尾咯	这个款式过时了。
退咗休玩啲乜嘢世艺呀	退了休之后，有些什么消遣活动?
丝发戏服	绸缎戏服。
怕丢架就学唔到嘢	怕丢脸就学不到东西。
学完唔用就容易丢生	学完不用就容易荒疏。
呢包饼你同细佬两份食啦	这包饼你和弟弟一起吃吧! 
本书我哋两份睇好唔好	这本书我们一起看好吗? 
呢间屋系两份㗎	这所房子是两家共有的
呢堆嘢两份啦	这堆东西分一半给我吧。
你同佢有两句都唔紧要	你跟他意见不一致也不要紧
叫佢做从来冇两句嘅	叫他做是从来没有异议的。
我经常广州、深圳两头走	我经常来往于广州、深圳。
我同你两家去啦	我和你两个去吧
我哋两家搬咗佢啦	咱们俩把它搬掉吧。
你哋都唔好嘈	你们双方都不要吵。
你嘅说话两开嘅	你说话模棱两可。
你话你会赢，我睇两开啦	你说你会赢，我看说不定。
呢件事结果点样，我话系两睇啦	这件事结果如何，我说有两种可能。
玩到丧晒	玩得心都散了。
丧仔	傻子
咪咁丧啦，正经啲做	别那么不正经，用心点干吧!
两个四	两元四角
三个银钱	三元; 三块钱。
佢咁懒个㖞	他多懒啊
话过都唔算数个㖞	说过也可以不认账的! 
咁烂个㖞，我唔要	那么烂的，我不要。
就系噉个啰	就是这样的了
一啲啲就够个啰	一点点就够了
得个啰	行了。
噉搞法唔得个噃	这样搞法可不行啊
呢啲嘢好贵个噃	这些东西很贵的。
呢间房几干净个噃	这个房间挺干净的
呢个队的确系几强个噃	这个队的确很强。
佢咁耐重唔翻嚟，我个心十五十六	他这么久还不回来，我心里七上八下的。
你嚟做中	你来做中人。
佢嘅成绩系中中地啦	他的成绩算中等吧。
呢次考试成绩中中等等啦	这次考试成绩还算凑合
工厂剧团嘅水平多数系中中等等嘅嗻	工厂剧团的水平多数是很一般的。
呢啲货最多算中亭啦	这些货最多算中等吧。
佢好中意细蚊仔	他很喜爱小孩。
拣到中意为止	挑选到合意为止。
我哋差啲中招咯	我们差一点上当了。
你个英文名点串呀	你的英文名字怎么拼写?
你咪咁串，会有人治你嘅	你别嚣张，会有人制服你的
个后生仔好串	那个年轻人很傲慢。
你哋想串埋嚟呃人呀	你们想串通起来骗人吗?
平时唔温习，到考试临时临急开夜车	平时不温习，到考试就临时匆忙开夜车
你唔事先通知，临时临急 叫我去边处揾人㖞	你事先不通知，临时让我上哪儿去找人啊!
我而家都七八十咯，临老学吹打 ，学都难呀	我现在都七老八十了，临老学艺学什么都难。
呢啲嘢为起嚟几多钱	这些东西算起来多少钱? 
呢啲砖为五文一百	这些砖成本五块钱一百块。
你为乜唔去	你为什么不去?
你嘅开支大，为唔过	你的开支大，划不来。
唔为得过	划不来
加工费五文为得过	加工费五块钱划得来。
做呢个柜为皮要几多钱	做这个柜子成本要多少钱? 
小规模生产太为皮喇	小规模生产成本太高了。
为食仔	嘴馋的小孩。
呢个正一为食猫	这个真是馋猫。
大家都举荐你做主任噃	大家都推荐你做主任呢。
乃念佢以前做过啲好事，呢次就放佢一马	体念他以前做过一些好事，这次就放过他吧。
久一做啲久二做啲，冇几耐就做完喇	一下子做一点，一下子又做一点，不多久就做完了
久一写啲久二写啲，重怕写唔完咩	今天写一点，明天写一点，还怕写不完吗?
大家久唔久就习惯晒喇	大家久而久之就完全习惯了。
大家久唔久见下面都几好嘅	大家不时见一下面也很不错的。
人哋都做得咁好，之你呢	人家都干得这么好，可你呢? 
个个都系噉做，之佢偏偏要另出花样	每个人都这么干，但是他偏要另搞花样。
佢做嘢好快手，之不过有时揦西啲	他干活很快捷，只是有时马虎些
呢出电影几好睇，之不过摄影技术差啲	这部电影还好看，不过摄影技术差一些。
阿爷比五年前老咗好多，之不过精神重好好	爷爷比五年前老了好些，但是精神还很好。
喺你未嚟到之先，会就开完咯	在你没来到之前，会就开完了。
啲咁多之嘛	一点点罢了
啱啱学识之嘛	刚刚学会罢了。
之噉，你都要负一部分责任嘅噃	不过，你也应该负一部分责任的。
佢嘅头发乌劣劣，真好睇	他的头发黑黑的，真好看。
听佢讲完我重系乌啄啄	听他说完了我还是一点不懂。
对呢件事，我完全乌啄啄	对这件事，我完全不了解。
睇佢似晒只乌撝噉	看他煞像一只怪物。
个个都乌眉瞌睡噉，系唔系琴晚打牌呀	个个都昏昏欲睡的，是不是昨晚打牌了?
唔好诈穷嘞，而家着得乌褴苟褛噉做乜㖞	别装穷了，现在穿得破破烂烂的干吗?
生乌鸡	起霉。
你做事唔好咁乌龙至得㗎	你做事不要那么糊涂才行。
烧炮仗乒铃𠾴唥咁响	放鞭炮劈里啪啦地响。
呢个人好乔溜呀	这个人够古怪的。
乜都唔要	什么都不要
叫乜名	叫什么名字? 
有乜话乜	有什么说什么! 
为乜唔出声呀	为什么不作声? 
 乜咁快就翻嚟呀	怎么那么快就回来了
乜唔见人喇	怎么不见人了? |
唔知佢讲乜东东	不知他说什么
里头系乜东东呀	里面都是些什么东西?
佢又话去过乜乜地方	他又说去过什么什么地方
又话食过乜乜，唔知真定假	又说吃过什么什么，不知道是真是假。
佢讲咗好多嘢，乜乜物物，我都听烦咯	他说了很多东西，这样那样的，我都听烦了
佢成日喺背后讲人哋乜乜物物，真讨厌	他整天在背后说人家什么什么的，真讨厌!
个袋里头有啲乜嘢	那个口袋里有些什么东西? 
乜嘢人讲乜嘢话	什么人说什么话
理佢做乜嘢	理他干什么
呢架机器有乜嘢用呀	这架机器有什么用?
乜嘢话呀，小意思嗻	说什么话，小意思罢了。
乜嘢话，你讲嘅系乜嘢呀	什么，你说的是什么呀? 
乜嘢话，佢居然咁大胆	什么，他居然这么大胆!
佢唔中意乜滞	他不怎么喜欢
呢本书唔好睇乜滞	这本书不怎么好看
未熟乜滞	还不怎么熟
今日冇人嚟乜滞	今天几乎没有什么人来
冇乜滞啰	几乎没有了。
乜说话呀，啲事冇乜咁交关	哪里哪里，事情没有那么严重。
你唔畀翻我乜都假	你不还给我说什么也不行
唔完成任务，乜都假	不完成任务，决不罢休
佢唔公开道歉，乜都假 	他不公开道歉，坚决不答应! 
咁迟至嚟，乜都假啦	那么晚才来，白搭了
佢唔同意， 啦	他不同意，有什么办法!
重讲乜鬼吖	还说什么!
佢讲话九唔搭八	他说话杂乱无章。
我话九成九系佢	我说很可能是他
呢件事冇十足嘅把握都有九成九嘅嘞	这件事没有十足的把握也有百分之九十九的可能性。
旧时佢去乞过	过去他讨过饭
周围乞人帮手	到处求人帮忙。
背后讲人哋会乞人憎㗎	背后议论人家会令人讨厌的
你咁百厌，有乜法子唔乞人憎吖	你这么淘气，有什么办法不叫人讨厌!
咪咁乞儿啦，周围问人哋攞	别那么不要脸了，到处向别人要。
我乡下喺从化	我家乡在从化。
我同佢系乡里	我跟他是同乡。
唔识路就请问嗰个乡里	不认得路就问问那位老乡。
嗰个嘢乱咁舂去边度呀	那个家伙到处乱窜蹿到哪里去了?
睇下呢处系乜地方，咪乱噏廿四啦	看看这里是什么地方，别胡说八道了。
呢个人行路唔睇人，乱撞嘅	这个人走路不看人，乱碰乱撞。
畀我乱撞撞啱咗	让我乱蒙碰对了。
几个人捣乱，搞到队伍乱晒龙	几个人捣乱，搞得队伍乱了套了。
你写嘅总结东拉西扯，真系乱过嚿云	你写的总结东拉西扯，比什么都乱。
大家轮住嚟睇，唔好乱龙	大家轮着来看，不要乱了套
搞到啲书乱晒龙	把书弄得乱七八糟。
烧乳猪	烤小猪。
鸡乸	母鸡
猪乸	母猪。
佢争你两文	他欠你两块钱
重争啲乜嘢	还缺些什么?
我边个都唔争	我谁也不偏袒
争住佢	向着他
“舅父打外甥，打死冇人争”	熟语。舅父打外甥，打死了也无人敢劝———说明做舅父的权力极大。
大家都同意，争在你喇	大家都同意，现在取决于你了。
我同你比真系争天共地咯	我跟你比真是差别太大了。
我今日一定要去佢屋企，事关有好多急事要请教佢	我今天一定要上他家去，因为有许多急事要向他请教
点解我唔做呢?事关我唔高兴	为什么我不干呢? 因为我不高兴。
事因我唔识开车，追唔到佢	因为我不会开车，追不上他。
冇事干	没事儿
为乜事干嗌交	为什么事情吵架?
点解分配畀我哋嘅资金特别少，唔通我哋系二奶命	为什么分配给我们的资金特别少，难道我们低人一等!
你呢啲装修工系二打六嘅	你这些装修工太次了。
佢好热心，就系经常做二架梁	他很热心，只不过经常帮不上忙
人哋嗌交，你唔好做二架梁	人家争吵，你不要去参与。
我打到佢	我把他打得乱蹦乱跳。
佢啱病好， 重好亏	他刚病好，还很虚弱
你咁亏，要锻炼至得	你身体那么虚弱，要锻炼才行。
攞嘢食千祈咪用五爪金龙	拿东西吃千万不要用手抓。
佢病到五颜六色	他病得够戗
做到我五颜六色	干得我筋疲力尽。
边个系亚大	谁是老大?。
亚支亚佐讲咗成日	唠唠叨叨说了半天。
呢啲假嘢，你卖畀亚茂亚寿就啱咯	这些假冒伪劣东西，你卖给傻瓜吧。
边个识你系亚谁	哪个认得你是谁?
我只脚有啲痛，行路似晒一个亚跛	我的腿有点痛，走路真像一个瘸子。
有些少唔习惯	有一点儿不习惯
有些少缺点	有一些缺点。
乜事嘈得咁交关	什么事吵得那么厉害?
打一个交叉	打一个叉儿。
要交带个仔锁门	要交代儿子锁门。
佢亦系	他也是
噉样亦得	这样也行
佢亦想参加呢个会	他也想参加这个会。
佢吓亲你呀	他使你受惊了? 
我只脚屈亲	我的脚扭伤了
只马吓亲咯	马受惊了
你系唔系冷亲呀	你是不是受凉了? 
睇亲就识	一看就懂
一坐亲船就头晕	一坐船就头晕
叫亲佢都嚟	每次叫他都来
逢亲星期日都休息	每逢星期日都休息。
做事要亲力亲为至得	做事要自己动手才行。
亲生仔女	亲生子女
亲生大佬	亲哥哥。
你唔好畀人睇见	你不要给别人看见
人噉做，你噉做啦吗	人家这么做你也这么做嘛。
谂咁长做乜吖，人一世物一世	考虑那么长远干什么，人生几何。
考学校靠讲人事点得㗎	考学校靠讲人情怎么行
要讲原则性，有人事都唔得	要讲原则性，有靠山也不行。
咪睇佢人仔细细，好叻㗎	别看他年纪小小的，聪明着呢。
呢度人多口杂，唔好办事	这里人多议论多，不好办事。
人多口杂好难保密嘅	人多嘴杂是很难保密的。
你真系人头猪脑，咁简单嘅数都唔识计	你真笨，这么简单的数都不会计算。
佢屋企嚟咗三个人客	他家来了三位客人。
